codigo,nota
20230001,17
20230002,2
20230003,14
20230004,20
20230005,13
20230006,16
20230007,3
20230008,0
20230009,8
20230010,17
20230011,13
20230012,4
20230013,5
20230014,8
20230015,19
20230016,12
20230017,5
20230018,12
20230019,14
20230020,1
20230021,4
20230022,8
20230023,17
20230024,7
20230025,8
20230026,18
20230027,10
20230028,19
20230029,2
20230030,5
20230031,16
20230032,2
20230033,0
20230034,10
20230035,16
20230036,13
20230037,12
20230038,5
20230039,0
20230040,18
20230041,18
20230042,19
20230043,5
20230044,14
20230045,19
20230046,19
20230047,14
20230048,14
20230049,6
20230050,1
20230051,2
20230052,8
20230053,17
20230054,2
20230055,18
20230056,12
20230057,7
20230058,15
20230059,5
20230060,14
20230061,0
20230062,3
20230063,17
20230064,5
20230065,2
20230066,8
20230067,16
20230068,3
20230069,2
20230070,5
20230071,0
20230072,17
20230073,6
20230074,9
20230075,5
20230076,20
20230077,19
20230078,12
20230079,17
20230080,10
20230081,17
20230082,15
20230083,19
20230084,16
20230085,0
20230086,11
20230087,10
20230088,7
20230089,6
20230090,9
20230091,12
20230092,20
20230093,6
20230094,0
20230095,3
20230096,7
20230097,19
20230098,8
20230099,14
20230100,3
20230101,9
20230102,10
20230103,12
20230104,13
20230105,19
20230106,19
20230107,8
20230108,14
20230109,8
20230110,14
20230111,0
20230112,10
20230113,1
20230114,15
20230115,20
20230116,14
20230117,16
20230118,10
20230119,14
20230120,3
20230121,6
20230122,4
20230123,2
20230124,12
20230125,0
20230126,17
20230127,12
20230128,2
20230129,15
20230130,9
20230131,11
20230132,15
20230133,12
20230134,13
20230135,16
20230136,8
20230137,10
20230138,11
20230139,20
20230140,6
20230141,19
20230142,14
20230143,10
20230144,6
20230145,10
20230146,9
20230147,10
20230148,8
20230149,2
20230150,8
20230151,19
20230152,9
20230153,11
20230154,11
20230155,19
20230156,20
20230157,17
20230158,6
20230159,14
20230160,18
20230161,12
20230162,18
20230163,13
20230164,9
20230165,13
20230166,0
20230167,5
20230168,18
20230169,5
20230170,6
20230171,12
20230172,1
20230173,0
20230174,14
20230175,7
20230176,13
20230177,1
20230178,0
20230179,2
20230180,17
20230181,14
20230182,14
20230183,4
20230184,14
20230185,12
20230186,15
20230187,20
20230188,9
20230189,8
20230190,15
20230191,7
20230192,3
20230193,16
20230194,14
20230195,20
20230196,10
20230197,9
20230198,5
20230199,12
20230200,9
